s,en,vi,Cn,kor,es,ja
type_requirement_tooltip,Requires a support Monster of this Elemental Type to catch. Genesis Monsters provide a higher Catch Rate boost. Visit <market> the Marketplace </market> to purchase one!,Requires a support monster of this type to catch. Genesis monsters give further catch rate boost. Visit <market> the marketplace </market> to buy one!,需要此元素类型的辅助怪物才能捕捉。创世纪怪物提供更高的捕获率提升。访问 <market> 市场</market> 购买一个！,잡으려면 이 원소 유형의 지원 몬스터가 필요합니다. 제네시스 몬스타는 더 높은 캐치율 부스트를 제공합니다. <market> 마켓플레이스 </market>를 방문하여 구매하세요!,Requiere un monstruo de apoyo de este tipo para atraparlo. Los monstruos de Génesis aumentan aún más la tasa de captura. ¡Visite <market> el mercado </market> para comprar uno!,キャッチするには、このエレメンタルタイプのサポートモンスターが必要です。ジェネシスモンスターは、より高いキャッチ率のブーストを提供します。 <マーケット>マーケットプレイス</ マーケット>にアクセスして購入してください。
requires,Requires,,需要,필요합니다.,Requiere,要求
block_requirement_tooltip,This Monster will run away after a certain number of blocks.,This monster will run away after a number of blocks.,这个怪物会在一定数量的块后逃跑。,이 몬스터는 일정 수의 블록 후에 도망가겠습니다!,Este monstruo se escapará después de un número de bloques.,このモンスターは、一定数のブロックの後に逃げます。
blocks,BLOCKS,,积木,블록,BLOQUES,ブロック
bp,BP,,英国石油公司,BP,PODER DE BATALLA,BP
tier_requirement_tooltip,This Monster requires you to be at a certain VIP Tier to battle. Check out the <tier> Vip Tier <tier/> page for more info.,This monster requires you to be at a certain VIP Tier to battle. Check out <tier> Vip Tier <tier/> page for more info.,这个怪物需要你达到一定的VIP等级才能战斗。查看 <tier> Vip Tier <tier/> 页面了解更多信息。,이 몬스터는 전투를 하려면 특정 VIP 등급에 있어야 합니다. 자세한 내용은 <tier> Vip Tier <tier/> 페이지를 확인해 주십시오.,Su monstruo requiere que estés en cierto nivel VIP para luchar. Consulte la página <tier> Vip Tier <tier/> para obtener más información.,このモンスターは、戦闘するために特定のVIPティアにいる必要があります。詳細については、<tier> Vip Tier <tier />ページをご覧ください。
required,Required,,必需的,필요,Requiere,必須
battle_reward_tooltip,The first few trainers to defeat this Monster will receive a generous reward. Only once per trainer!,First few trainers who defeat this monster will receive a handsome reward. Once per trainer only!,前几位击败此怪物的训练家将获得丰厚的奖励。每位教练仅限一次！,이 괴물을 물리친 처음 몇 명의 트레이너는 멋진 보상을 받게 됩니다. 트레이너당 한 번만 받을 수 있습니다.,Los primeros entrenadores que derroten a este monstruo recibirán una gran recompensa. ¡Solo una vez por entrenador!,このモンスターを倒した最初の数人のトレーナーは、寛大な報酬を受け取ります。トレーナーごとに1回のみ！
bridge_out,Bridge Out,,桥出,브리지 아웃,Fuera del puente,ブリッジアウト
bridge_in,Bridge In,,桥接,브리지 인,Dentro del puente,ブリッジイン
bcmc_transfer,BCMC Transfer,,BCMC 转账,BCMC 이전,Transferencia de BCMC,BCMC転送
monster_transfer,NFT Transfer,,NFT 转账,NFT 이전,Transferencia de NFT,NFT転送
buy_ino,Buy INO,,购买伊诺,이노 구매,Compra INO,イノを購入する
claim_test_bcmc,Claim Test BCMC,,领取测试 BCMC,클레임 테스트 BCMC,Reclama los tokens de BCMC de prueba,クレームテストBCMC
convert_energy,Convert Energy,,转换能量,에너지 변환,Convierte energia,エネルギーを変換する
tier_deposit,Tier Deposit,,分层存款,티어 예금,Deposito de rango,ティアデポジット
tier_withdraw,Tier Withdraw,,等级提现,티어 철회,Retiro de rango,ティア撤退
enter_universe,Enter Universe,Vào thế giới,进入宇宙,유니버스에 들어가기,Entrar al universo,宇宙に入る
exit_universe,Exit Universe,Thoát thế giới,退出宇宙,유니버스에서 나가기,Salir del universo,宇宙を出る
convert_bcmc_to_energy,BCMC → Energy,BCMC → Năng lượng,BCMC → 能量,BCMC →에너지,BCMC → ENERGIA,BCMC→エネルギー
convert_energy_to_bcmc,Energy → BCMC,Năng lượng → BCMC,能量 → BCMC,에너지 → BCMC,BCMC → ENERGIA,エネルギー→ BCMC
claim_bcmc,Claim BCMC,Nhận BCMC,领取BCMC,BCMC 청구하기,Reclama BCMC,BCMCを請求する
guild_payout,,,,길드 지불금,Pagos de clanes,
brought,Brought,Đã Mua,带来,가져왔습니다,Trajo,持ってきた
claimed,Claimed,Đã nhận,已领取,청구했음,Reclamado,主張
recent_transaction,Recent Transactions,Những giao dịch gần đây,最近的交易,최근 거래,Transacciones Recientes,最近の取引
ticket_id,Ticket ID,Thông tin phiếu,票证编号,티켓 ID,ID del ticket,チケットID
bought_in,Bought in,,买进,구입하기,Comprado en,購入した
new,New,Mới,新的,새로운,Nuevos monstruos,新しい
you_have_no_new_monsters,You have no new monsters.,Bạn không có quái thú mới,你没有新的怪物。,새로운 몬스터가 없습니다.,No tenes ningun monstruo nuevo,新しいモンスターはいない。
used_items,Used items,Vật phẩm đã sử dụng,二手物品,중고 아이템,Items usados,使用済みアイテム
new_items,New items,Vật phẩm mới,新东西,새로운 아이템,Nuevos items,新しいアイテム
used,Used,Đã sử dụng,用过的,사용됨,Usados,使用済み
you_bring_no_items,You did not bring any items.,Bạn không mang bất kỳ vật phẩm nào,你没有带任何物品。,물건을 가져오지 않았습니다.,No haz traido ningun item,アイテムを持ってきませんでした。
you_have_no_new_items,You have no new items.,Bạn không có vật phẩm mới,你没有新物品。,새 항목이 없습니다.,No tienes nuevos item,新しいアイテムはありません。
balance,Balance,,平衡,밸런스,Balance,バランス
claim_exit,Claim & Exit,,领取和退出,청구 및 종료,reclamar y salir,申し立てと終了
claim_exit_lead,Would you like to claim & exit the Multiverse?,,你想认领并退出多元宇宙吗？,메타버스를 주장하고 종료하시겠습니까?,¿Te gustaria reclamar y salir del multiverso?,マルチバースを申請して終了しますか？
date,Date,,日期,날짜,Fecha,日にち
estimated_earning,Estimated earnings,,预计收益,예상 수입,Ganancias estimadas,推定収益額
overview,Overview,,概述,개요,Informacion general,概要
pool_expired_in,Pool expired in,,池已过期,풀이 만료됨,El pool expira en,プールの有効期限が切れました
energy,Energy,,能量,에너지,Energia,エネルギー
energy_earned,Energy earned,,获得的能量,획득한 에너지,Energia ganada,獲得したエネルギー
loan,LOAN,,贷款,대출,Préstamo,ローン
items,Items,,物品,아이템,Items,アイテム
item,Item,,物品,아이템,Item,アイテム
item_plural,Items,,物品,아이템,Items,アイテム
monster_owned,Monsters owned,,拥有的怪物,소유한 몬스터,Monstruos en posesion,所有するモンスター
maxium_loan,Maxium loan,,最大贷款,최대 대출,Maximo de prestamo,マキシウムローン
monsters_in_pool,Monster in pool,,池里的怪物,풀의 괴물,Monstruos en el pool,プールのモンスター
until_pool_close,Until pool is closed,,直到游泳池关闭,수영장 폐장시까지,Hasta el cierre del pool,プールが閉まるまで
you_cant_use,You can't use this feature yet.,,你还不能使用此功能。,아직 이 기능을 사용할 수 없습니다.,Todavia no puedes utilizar esta función,この機能はまだ使用できません。
you_cant_use_lead,You need to have at least 500 monsters in your portfolio before you can loan monsters.,,你需要在您的投资组合中至少拥有 500 个怪物才能借出怪物。,몬스터를 대출하려면 포트폴리오에 최소 500마리의 몬스터가 있어야 합니다.,Necesitas al menos 500 monstruos en tu portafolio antes de poder prestar tus monstruos,モンスターを貸し出す前に、ポートフォリオに少なくとも500のモンスターが必要です。
visit_marketplace,Visit marketplace,,访问市场,시장 방문,Visita nuestro mercado,マーケットプレイスにアクセス
catch_more,Catch more,,捕捉更多,더 잡기,Atrapa mas,もっとキャッチ
exit,Exit,,退出,출구,Salir del universo,出口
can_not_exit_lead,"You still have available rewards that need to be claimed, please claim all your rewards before exiting the current game session.",,你仍有可用的奖励需要领取，请在退出当前游戏会话之前先领取您的所有奖励。,아직 청구해야 할 보상이 있습니다. 현재 게임 세션을 종료하기 전에 먼저 모든 보상을 청구하십시오.,"Todavía tiene recompensas disponibles que deben reclamar, por favor, reclame todas sus recompensas primero antes de salir de la sesión del juego actual.",まだ請求する必要のある利用可能な報酬があります。現在のゲームセッションを終了する前に、まずすべての報酬を請求してください。
claim_rewards,Claim rewards,,领取奖励,보상 청구,Reclamar recompensas,報酬を請求する
claim_lead,Claim all your rewards without exiting the game,,在不退出游戏的情况下领取所有奖励,게임을 종료하지 않고 모든 보상을 받으세요,Reclama todas tus recompensas sin salir del juego,ゲームを終了せずにすべての報酬を請求する
claim_all,Claim all,,领取所有,모든 보상을 받기,Reclamar todo,すべてを請求する
energy_title_ver_two,Top up or claim your BCMC for the current Multiverse session,,为当前的 Multiverse 会话充值或申领您的 BCMC,현재 Multiverse 세션에 대한 BCMC 충전 또는 청구하기,Recarga o reclama tus BCMC para tu actual sesión del multiverso,現在のマルチバースセッションのBCMCを補充または請求します
energy_in_multiverse,Energy in Multiverse,,多元宇宙中的能量,메타버스의 에너지,Energia en multiverso,多元宇宙のエネルギー
energy_to_claim,Energy to claim,,领取能量,청구할 에너지,Energia a reclamar,主張するエネルギー
remaining_energy,Remaining Energy,,剩余能量,남은 에너지,Energia restante,残りのエネルギー
resulting_energy,Resulting Energy,,产生的能量,결과 에너지,Energia resultante,結果として生じるエネルギー
ready_to_exit,Exit the Multiverse,,退出多元宇宙,메타버스 종료,Exit the Multiverse,多元宇宙を終了します
ready_to_exit_lead,Are you ready to exit the Multiverse? <endLine/> The remaining <energyFormat/> energy will also be claimed.,Are you ready to exit the Multiverse? The remaining amount of {{ energyAmount }} energy will also be claimed.,你准备好退出多元宇宙了吗？ <endLine/> 剩余的 <energyFormat/> 能量也将被索取。,메타버스를 종료할 준비가 되셨습니까? 나머지 {{ energyAmount }} 에너지도 청구됩니다.,¿Estás listo para salir del Multiverso? <endLine></endLine> {{ energyAmount }} también se reclamará energía.,多元宇宙を終了する準備はできていますか？ <エンドライン/>残りの<エネルギーフォーマット />エネルギーも要求されます。
ready_to_exit_lead_no_energy,Are you ready to exit the Multiverse?,Are you ready to exit the Multiverse?,你准备好退出多元宇宙了吗？,메타버스를 종료할 준비가 되셨습니까?,Are you ready to exit the Multiverse?,多元宇宙を終了する準備はできていますか？
no_users,No users,,用户数,사용자 없음,No hay usuarios,ユーザー数
transaction,,,交易,거래,Transacción,
member,Member,,成员,회원,Miembro,メンバー
salary,,,薪水,샐러리,Salario,
suggested_payment,Suggested Payment,,建议付款,제안된 지불,Pago sugerido,推奨される支払い
select_payout_date,Pay your members according to earning up until a certain date,,在特定日期之前根据收入向您的会员付款,특정일까지의 수입에 따라 회원에게 지급해 주십시오,Paga a tus miembros acorde a sus ganancias hasta una determinada fecha,特定の日付までの収益に応じてメンバーに支払います
hide_zero_payment,Hide zero payment,,隐藏零付款,제로 결제 숨기기,Ocultar 0 pagos,ゼロ支払いを隠す
m,m,,米,,M,m
selected,Selected,,选择,선택된,Seleccionado,選択
approve_to_pay,Approve payment,,批准付款,결제 승인,Aprobado para pagar,支払いを承認する
Pay,Pay,,支付,결제하기,pagar,支払い
permission_required,Permission required,,需要许可,권한 필요,permiso requerido,許可が必要です
permission_required_lead,Please mark our site as trusted so we can charge your BCMC from your wallet. Click here for more info.,,请将我们的网站标记为受信任，以便我们从您的钱包中向您的 BCMC 收费。 请点击这里获取更多信息。,지갑에서 BCMC를 청구할 수 있도록 사이트를 신뢰할 수 있는 것으로 표시하십시오.자세한 정보를 보려면 여기를 클릭하십시오.,Marque nuestro sitio como confiable para que podamos cargar su BCMC desde su billetera. Haga clic aquí para más información.,ウォレットからBCMCに請求できるように、当サイトを信頼できるものとしてマークしてください。 詳細については、ここをクリックしてください。
approve_once,Approve once,,批准一次,일회 승인,Aprobar una vez,一度承認する
approve,Approve,,批准,승인,Aprobar una vez,承認
ready_to_play,Ready to play,,准备玩,플레이 준비,Listo para jugar,プレイする準備ができました
ready_to_play_lead,Please approve the transaction appearing on MetaMask/WalletConnect to enter the Multiverse.,,请批准出现在 MetaMask/WalletConnect 上的交易以进入 Multiverse。,메타버스에 진입하려면 메타마스크/월렛연결에 표시되는 트랜잭션을 승인하십시오.,Por favor aprueba la transacción que aparece en su billetera MetaMask/WalletConnect para entrar al multiverso,マルチバースに入るために、メタマスク / ウォレットコネクトtに表示されるトランザクションを承認してください。
i_ready,I'm ready!,,我准备好了！,준비되었습니다!,Estoy listo!,準備できました！
remove_user,Remove user,,删除用户,사용자 제거,Remover usuario,ユーザーを削除する
remove_user_confirm,Are you sure you want to remove this user?,,你确定要删除此用户吗？,이 사용자를 삭제하시겠습니까?,¿Estás seguro de que queres remover a este usuario?,このユーザーを削除してもよろしいですか？
manage,,,管理,관리하기,Administrar,
cancel_ticket,Cancel ticket,,取消机票,티켓 취소,Cancelar ticket,チケットをキャンセルする
retry_exit,Retry exit,,重试退出,재시도 종료,Reintentar salida,終了を再試行します
go_to_claim,Go to Claim,,前往领取,청구로 이동,Dirígite a la sección de reclamo,クレームに移動
no_session_message,You don't have any active sessions assigned to this member. Please <createSessionRef> create a session here </createSessionRef>.,You don't have any active sessions assigned to this member. Please <createSessionRef> create a session here </createSessionRef>.,你没有为该成员分配任何活动会话。请<createSessionRef> 在此处创建会话</createSessionRef>。,이 회원에게 할당된 활성 세션이 없습니다. <createSessionRef> 여기에서 세션을 생성 </createSessionRef> 해 주십시오.,No tienes sesiones activas asignadas a este miembro. <createSessionRef> cree una sesión acá </createSessionRef>.,このメンバーに割り当てられているアクティブなセッションはありません。 <createSessionRef>ここでセッションを作成してください</ createSessionRef>。
member_account,Member account details,,会员账户详情,회원 계정 정보,Detalles de las cuentas de los miembros,メンバーアカウントの詳細
customize_it_your_style,Customize it in your style.,,以你的风格定制它。,당신의 스타일로 사용자 정의하십시오.,Personalizalo a tu propio estilo,あなたのスタイルに合わせてカスタマイズしてください。
add_wallet_title,Add wallet address,,添加钱包地址,지갑 주소 추가,Agregar dirección de billetera,ウォレットアドレスを追加
add_wallet_lead,Enter a wallet address to send out a payment to this user.,,输入钱包地址为该用户发送付款。,이 사용자에 대한 지불을 보낼 지갑 주소를 입력하십시오.,Inserta una dirección de billetera para enviar los pagos para este usuario,このユーザーの支払いを送信するウォレットアドレスを入力します。
salary_bracket_title,Salary,,薪水,샐러리,Salario,給料
salary_bracket_lead,Choose a salary for this user based on earning percentage or fixed amount.,,根据收入百分比或固定金额为该用户选择工资。,소득 비율 또는 고정 금액을 기준으로 이 사용자의 급여를 선택해 주십시오.,Elegi un salario para este usuario basado en el porcentaje de ganancias o monto fijo,収益率または固定金額に基づいて、このユーザーの給与を選択します。
change_password,Change password,,更改密码,비밀번호 변경,Cambiar contraseña,パスワードを変更する
change_password_lead,Enter a new password or leave blank to keep the same password.,,输入新密码或留空以保留相同的密码。,새 비밀번호를 입력하거나 동일한 비밀번호를 유지하려면 공백으로 둡니다.,Inserta tu nueva billetera o dejala en blanco para mantener la misma contraseña,新しいパスワードを入力するか、空白のままにして同じパスワードを維持します。
set_password,Set a password (6-20 alphanumeric characters),,设置密码（6-20 个字母数字字符）,비밀번호 설정(영숫자 6~20자),Colocá una contraseña (6-20 caractéres alfanuméricos),パスワードを設定します（6〜20文字の英数字）
repeat_password,Repeat the password,,重复密码,비밀번호 반복,Repeti tu contraseña,パスワードを繰り返します
update,Update,,更新,업데이트,Actualización,アップデート
your_journey_await,Your journey awaits!,,你的旅程等待着！,당신의 여행이 기다리고 있습니다!,Tu viaje te espera!,あなたの旅が待っています！
your_journey_await_lead,You need at least one monster to join the Multiverse. Visit the marketplace now to buy monsters.,,你至少需要一个怪物才能加入多元宇宙。立即访问市场购买怪物。,메타버스에 참여하려면 최소한 몬스터가 필요합니다.지금 시장을 방문하여 몬스터를 구입하세요.,Necesitas al menos un monstruo para unirte a Multiverse. Visita el mercado ahora para comprar monstruos.,マルチバースに参加するには、少なくともモンスターが必要です。 モンスターを購入するには、今すぐマーケットプレイスにアクセスしてください。
connect_wallet_lead,Please connect your account using one of the following methods,,请使用以下方法之一连接您的帐户,Please connect your account using one of the following methods,Conecta tu cuenta usando uno de los siguientes métodos,次のいずれかの方法でアカウントを接続してください
step_1,Step 1,,第1步,1 단계,Paso 1,ステップ1
step_2,Step 2,,第2步,2 단계,Paso 2,ステップ2
step_3,Step 3,,第 3 步,3 단계,Paso 3,ステップ3
step_4,Step 4,,第4步,4 단계,paso 5,ステップ4
set_password_title,Set password,,设置密码,암호를 설정하십시오,Coloca tu contraseña,パスワードを設定してください
set_password_lead,User will need to input this password to access the game,,用户需要输入此密码才能访问游戏,사용자가 게임에 액세스하려면 이 비밀번호를 입력해야 합니다.,El usuario deberá ingresar esta contraseña para acceder al juego.,ゲームにアクセスするには、ユーザーはこのパスワードを入力する必要があります
create_account,Create account,,创建账户,계정 만들기,Crear cuenta,アカウントを作成する
add_member_title,Add member,,添加成员,회원 추가,Agregar miembro,メンバーを追加
add_member_lead,Add a member to the session,,将成员添加到会话,세션에 구성원 추가,Agregar a un miembro a la sesión,セッションにメンバーを追加する
enter_username,Enter username,,输入用户名,사용자 이름 입력,Ingresar nombre de usuario,ユーザーネームを入力してください
no_member_found,No available members,,没有可用的成员,사용 가능한 회원이 없습니다,No hay miembros disponibles,利用可能なメンバーがありません
set_an_avatar,Set an avatar,,设置头像,아바타 설정,Selecciona un avatar,アバターを設定する
set_an_avatar_lead,Customize your style,,自定义您的风格,스타일 사용자 지정,Personaliza tu estilo,あなたのスタイルをカスタマイズする
select_monsters_lead,Pick your Monsters carefully. You won't be able to change them once you enter the Multiverse,,仔细挑选你的怪物。进入 Multiverse 后将无法更改它们,신중하게 몬스터를 선택하세요.메타버스에 들어가면 변경할 수 없습니다.,Selecciona a tus monstruos cuidadosamente. No tendrás la posibildiad de cambiarlos una vez que ingreses al multiverso,モンスターを慎重に選んでください。 マルチバースに入ると、それらを変更することはできません
choose_monster_error,You need to pick at least 1 Monster to start the game.,,您需要至少选择 1 个怪物才能开始游戏。,게임을 시작하려면 최소 1마리의 몬스터를 선택해야 합니다.,Necesitas al menos un monstruo para empezar a jugar,ゲームを開始するには、少なくとも1体のモンスターを選ぶ必要があります。
select_items,Select your support items.,,选择您的支持项目。,지원 항목을 선택하십시오.,Selecciona los items de apoyo,サポートアイテムを選択してください。
select_items_lead,Items can help you out in dire situations.,,物品可以在可​​怕的情况下帮助您。,아이템은 위급한 상황에서 당신을 도울 수 있습니다.,Los items pueden ayudarte en situaciones complicadas,アイテムは、悲惨な状況であなたを助けることができます。
energy_fee,Energy Fee,,活力,에너지,Energia,エネルギー
energy_lead_ver_two,"Energy is required for battle, so make sure you bring enough to stay as long as you want",,战斗需要能量，因此请确保您携带足够的能量以保持您想要的时间,전투에는 에너지가 필요하므로 원하는 만큼 오래 머물 수 있도록 충분히 가져오세요.,Energy are required for battle so make sure you bring enough to stay as long as you want,戦闘にはエネルギーが必要なので、好きなだけ長く滞在できるように十分に持ってきてください
free_energy_mention,Don't have enough energy? You can always top up,,没有足够的能量？你可以随时充值,에너지가 충분하지 않습니까? 항상 충전할 수 있습니다.,¿No tienes suficiente energía? Siempre puedes recargar,十分なエネルギーがありませんか？ あなたはいつでも補充することができます
starting_energy,Starting energy,,启动能量,시작 에너지,Energia inicial,始動エネルギー
energy_topped_up,Energy topped up,,能量补足,에너지 충전,Recargar energia,エネルギーが補充されました
total_energy_brought,Total energy brought,,带来的总能量,가져온 총 에너지,Total de energia traida,もたらされた総エネルギー
multiverse_fee,Multiverse fee,,多元宇宙费用,메타버스 요금,Comision de entrada al multiverso,多元宇宙料金
energy_topup_cost,Energy Top-up cost,,能量充值费用,에너지 충전 비용,Coste de recarga de energia,エネルギー補充コスト
total_amount_charged,Total amount charged,,收取的总金额,청구된 총 금액,Cantidad total recargada,請求総額
not_available_mobile,Oops! This page is not available on mobile,,哎呀！此页面在手机上不可用,앗!이 페이지는 모바일에서 사용할 수 없습니다,Ups! esta pagina no esta disponible para el celular,おっとっと！ このページはモバイルでは利用できません
not_available_mobile_lead,Please try to access this page on desktop,,请尝试在桌面上访问此页面,데스크톱에서 이 페이지에 액세스하십시오.,"Por favor, intenta acceder a nuestra pagina desde una computadora",デスクトップでこのページにアクセスしてみてください
payout,Payout,,支付,지불금,Pago,支払い
mass_payment,Mass payment,,批量付款,대량 결제,Pago masivo,一括払い
guide_settings,Guild settings,,公会设置,길드 설정,Configuracion del clan,ギルド設定
notifications,Notifications,,通知,공고,Notificaciones,通知
terminate_all_session,Terminate all sessions,,终止所有会话,모든 세션 종료,Terminar todas las sesiones,すべてのセッションを終了します
send_me_performance,Send me a performance report at the end of each day,,在每天结束时向我发送绩效报告,하루가 끝날 때 나에게 성과 보고서를 보냅니다.,Enviarme un reporte de mi performance al final del dia,毎日の終わりにパフォーマンスレポートを送ってください
no_member_title,You don't have any members yet,,你还没有会员,아직 회원이 없습니다.,Todavia no tienes ningun miembro,まだメンバーがいません
no_member_lead,Press (+) above to add a member to your guild first.,,按上面的 (+) 首先将成员添加到您的公会。,길드에 회원을 먼저 추가하려면 위의 (+)를 누르십시오.,Presiona (+) arriba para agregar un miembro a tu gremio primero.,最初にギルドにメンバーを追加するには、上の（+）を押します。
guild_master,Guild Master,,公会长,길드 조합원,Maestro del clan,ギルドマスター
claiming,,,,,Reclamando,
no_monsters_to_choose,"You either have no monsters or all of them are busy at the moment. <endLine/> If you are new to the game, please take a look at our <metaverseVideo> Multiverse introduction video. </metaverseVideo>","You either have no monsters or all of them are busy at the moment. <endLine/> If you are new to the game, please take a look at our <metaverseVideo> Metaverse introduction video.</metaverseVideo>","“你要么没有怪物，要么现在都在忙。<endLine/>如果你是新手。 游戏，请观看我们的 <metaverseVideo> Multiverse 介绍视频。 </metaverse 视频>""",현재 몬스터가 없거나 모두 바쁩니다. <endLine/> 처음 사용하는 경우 게임은 <metaverseVideo> 메타버스 소개 영상을 봐주세요. </메타버스비디오>,"O no tienes monstruos o todos están ocupados en este momento. <endLine/> Si es nuevo en el juego, echa un vistazo a nuestro vídeo de introducción <metaverseVideo> Metaverse. </metaverseVideo>",「あなたはモンスターを持っていないか、現在すべてのモンスターが忙しいです。<エンドライン />あなたが初めての場合
ticket_nickname,Multiverse Nickname,,多元宇宙昵称,멀티버스 닉네임,Usuario del multiverso,ゲームについては、<メタバースビデオ>マルチバース紹介ビデオをご覧ください。 </ メタバースビデオ>」
statistic,Statistics,,统计数据,통계,Estadísticas,多元宇宙のニックネーム
completed_sessions,Completed sessions,,已完成的会话,완료된 세션,Sesiones completadas,完了したセッション
no_of_members,Members,,成员,회원,Miembros,メンバー
running_sessions,Running sessions,,运行会话,세션 실행,Sesiones en curso,実行中のセッション
best_performer,Best performer,,最佳表演者,베스트 퍼포머,Mejor performance,ベストパフォーマー
worst_performer,Worst performer,,表现最差的,최악의 퍼포머,Peor performance,最悪のパフォーマー
30_days_earnings,30D Earnings,,30D 收益,30D 수입,Ganancias en 30 dias,
7_days_earning,7D Earnings,,7D 收益,7D 수익,Ganancias en 7 dias,7D収益
7_days_battles,7D Battles,,7D 战斗,7D 전투,7 dias de batalla,7Dバトル
session_plural,Sessions,,会话,세션,Sesiones,セッション
sessions,Sessions,,会话,세션,Sesiones,セッション
create,Create,,创建,만들기,crear,作成
manage_guild,Manage guild,,管理公会,길드 관리,Administrar clan,ギルドを管理する
select_your_ticket,Your tickets,,你的票,당신의 티켓,Mis tickets,あなたのチケット
new_ticket,New Ticket,,新票,새 티켓,Nuevo Ticket,新しいチケット
your_avatar,Your Avatar,,你的头像,당신의 아바타,Mi avatar,あなたのアバター
your_monster_team,The A team that you have chosen to enter the Multiverse with you.,,您选择与您一起进入多元宇宙的A团队。,메타버스에 들어가기 위해 당신과 함께 선택한 팀입니다.,El equipo A que has elegido con vos para entrar al multiverso,マルチバースに入るためにあなたが選んだAチーム。
your_items,Your Items,,您的物品,당신의 아이템,Mis items,あなたのアイテム
upgrade_now,Upgrade now,,现在升级,바로 업그레이드,Actualizar ahora,今すぐアップグレード
bag_size,Bag size,,袋子尺寸,백 사이즈,Tamaño de la mochila,バッグサイズ
bag_size_lead,Total number of slots available for you to catch monsters/items within a Multiverse session. Find out more about how it works,,在 Multiverse 会话中可供您捕捉怪物/物品的插槽总数。了解更多关于它是如何工作的,메타버스 세션 내에서 몬스터/아이템을 잡을 수 있는 총 슬롯 수입니다. 작동 방식에 대해 자세히 알아보기,Número total de espacios disponibles para que atrapes monstruos/objetos dentro de una sesión de Multiverse. Más información sobre cómo funciona,マルチバースセッション内でモンスター/アイテムを捕まえるために利用できるスロットの総数。 それがどのように機能するかについてもっと知る
here,Here,,这里,여기,Acá,ここ
bag_size_info,Need more? Upgrade your VIP tier to unlock extra slots,,需要更多？升级您的 VIP 等级以解锁额外的插槽,더 필요하세요? VIP 등급을 업그레이드하여 추가 슬롯을 잠금해 주십시오,¿Necesitas mas? actualiza tu rango para desbloquear mas espacios,もっといります？ VIPティアをアップグレードして、追加のスロットのロックを解除します
amount_of_bcmc,Amount of BCMC held.,,持有的 BCMC 数量。,BCMC 보유량.,Cantidad de BCMC retenida.,開催されたBCMCの金額。
amount_of_bcmc_lead,"BCMC is required as a battle fee, so make sure you bring enough to stay for as long as you desire.",,BCMC 是必需的战斗费，所以请确保您带上足够的东西，以便您可以随心所欲地逗留。,BCMC는 전투비로 필요하므로 원하는 만큼 오래 머물 수 있도록 준비하십시오.,"Se requiere BCMC como tarifa de batalla, así que asegúrese de traer suficiente para quedarse todo el tiempo que desee.",戦闘費としてBCMCが必要ですので、ご希望の期間滞在するのに十分なものをご持参ください。
step_5,Step 5,,第 5 步,5단계,Paso 5,ステップ5
step_5_title,Amount of energy,,能量数量,에너지의 양,Cantidad de energia,エネルギー量
step_5_lead,"Energy is required for battle, so make sure you bring enough to stay as long as you want",,战斗需要能量，因此请确保您携带足够的能量以保持您想要的时间,전투에는 에너지가 필요하므로 원하는 만큼 오래 머물 수 있도록 충분히 가져오세요.,"Se requiere energía para la batalla, así que asegúrate de llevar suficiente para quedarte todo el tiempo que quieras.",戦闘にはエネルギーが必要なので、好きなだけ長く滞在できるように十分に持ってきてください
fee_to_participate,Fee to participate,,参加费用,참가비,Comision para participar,参加費
total_amount_change,Total amount charged,,收取的总金额,청구된 총 금액,Total de energia cargada,請求総額
disable_catch_monster,Disable catch monster,,禁用捕捉怪物,몬스터 잡기 비활성화,Deshabilitar captura de monstruo,キャッチモンスターを無効にする
claim_and_exit,Claim,,宣称,클레임,Reclamar,請求
retry_claim,Retry Claim,,重试索赔,클레임 재시도,Reintentar reclamar,クレームを再試行する
member,Member,,会员,회원,Miembro,メンバー
member_plural,Members,,会员,회원,Miembros,メンバー
manage_members,All members,,所有成员,전원,Todos los miembros,全員
unsupported_chain,Unsupported chain,,不支持的链,지원되지 않는 체인,Redes no soportadas,サポートされていないチェーン
unsupported_chain_lead,"This chain is not supported at the moment. Please click on one of the chains below to switch to it now, or you can switch manually in your wallet later.",,目前不支持此链。请单击下面的其中一条链立即切换到它，或者您可以稍后在钱包中手动切换。,이 체인은 현재 지원되지 않습니다. 아래 체인 중 하나를 클릭하여 지금 전환하거나 나중에 지갑에서 수동으로 전환할 수 있습니다.,Esta Red no es compatible en este momento. Haga clic en una de las cadenas a continuación para cambiar a ella ahora o puede cambiar manualmente en su billetera más tarde.,このチェーンは現在サポートされていません。 以下のチェーンの1つをクリックして今すぐ切り替えるか、後でウォレットで手動で切り替えることができます。
challenge_title,Challenge no longer available,,挑战不再可用,더 이상 사용할 수 없는 도전,El desafio ya no se encuentra disponible,チャレンジは利用できなくなりました
challenge_desc,Someone else has accepted this challenge or the challenger has canceled the battle.,,其他人已接受此挑战或挑战者已取消战斗。,다른 사람이 이 도전을 수락했거나 도전자가 전투를 취소했습니다.,Alguien más ha aceptado este desafío o el retador ha cancelado la batalla.,他の誰かがこのチャレンジを受け入れたか、チャレンジャーがバトルをキャンセルしました。
done,Done,,完毕,완료,Hecho,終わり
